,Mu33,Mu22,Pu,L,Cb,Delta,L1tb,h,b,tf,tw
902,-93830.158,-97419.305,-438987.4,3,1.101,0.0072,1,94.2086,42.2402,4.699,2.5908
903,-116837.198,-100855.04,-439846.795,3,1.079,0.0069,1,101.6,45.4914,4.3942,2.3114
904,-148178.318,-97087.104,-440982.145,3,1.113,0.0071,1,90.297,40.894,5.3086,2.9464
905,-118938.133,-107912.626,-447736.174,3,1.373,0.0066,1,45.5168,41.8465,6.7564,4.2037
906,-149561.22,-107339.134,-467746.652,3,1.094,0.0073,1,91.313,41.148,5.7912,3.2004
907,-123247.631,-121147.985,-477761.849,3,1.398,0.0102,1,46.4566,42.1386,7.2263,4.4958
908,-152168.718,-124896.659,-471832.855,3,1.144,0.0123,1,92.3036,41.4401,6.2992,3.5052
909,-126845.214,-131333.655,-527502.822,3,1.41,0.0127,1,47.4218,42.4053,7.7089,4.7625
910,-154561.597,-132806.903,-553574.139,3,1.152,0.0139,1,97.1804,43.0911,6.1976,3.4544
911,-154391.718,-135693.632,-590383.963,3,1.166,0.0146,1,93.4974,41.7957,6.9088,3.8608
912,-156729.275,-149972.421,-593544.545,3,1.202,0.0182,1,98.3996,43.4467,6.8072,3.81
913,-156790.607,-154777.701,-646433.235,3,1.228,0.0196,1,94.8944,42.1386,7.5946,4.191
914,-254725.708,-228464.908,-620247.024,3,1.183,0.019,1,106.6038,45.6946,10.8966,6.0452
915,-4710.809,-8764.687,-137572.429,3,2.265,0.0096,1,25.9588,25.6032,1.7272,1.0668
916,-8255.492,-5065.406,-136570.939,3,2.228,0.0112,1,46.609,19.2786,1.905,1.143
917,-5274.416,-8319.572,-137784.687,3,2.266,0.0124,1,22.86,21.0312,2.3749,1.4478
918,-6610.759,-15083.45,-138930.844,3,2.256,0.0119,1,31.115,30.5816,1.7018,1.0922
919,-8907.508,-13410.975,-138497.677,3,2.214,0.0132,1,46.2534,28.0289,1.7272,1.0795
920,-8994.185,-14094.159,-138767.757,3,2.233,0.0146,1,36.3474,25.7302,2.1717,1.2954
921,-9880.596,-16382.672,-139254.531,3,2.203,0.015,1,46.7106,28.1686,1.9558,1.2192
922,-10538.646,-16520.607,-139337.253,3,2.211,0.0164,1,42.545,26.3271,2.2225,1.3335
923,-9044.435,-23626.395,-140951.791,3,2.233,0.0161,1,32.2834,30.8864,2.286,1.397
924,11947.974,28984.382,-142740.659,3,2.22,0.0156,1,35.9664,36.9951,1.9812,1.2319
925,20474.028,20788.42,-141403.639,3,2.187,0.0185,1,47.5742,28.448,2.3876,1.4986
926,13631.305,33809.39,-143730.757,3,2.212,0.017,1,36.3728,37.0967,2.1844,1.3335
927,14688.452,37336.233,-144418.644,3,2.205,0.0174,1,36.7792,37.2618,2.3876,1.4986
928,15424.473,38974.377,-144750.137,3,2.205,0.0183,1,36.7792,37.2618,2.3876,1.4986
929,16780.84,49646.172,-146486.121,3,2.191,0.0184,1,37.5412,39.37,2.7686,1.7272
930,19692.814,61592.788,-148358.714,3,2.177,0.0196,1,38.6588,39.751,3.3274,2.1082
931,33617.47,133132.48,-214642.972,3,1.966,0.0192,1,47.4218,42.4053,7.7089,4.7625
932,42784.561,225498.117,-278412.982,3,1.8,0.0184,1,56.9468,45.4406,12.4714,7.7978
933,23802.262,65115.811,-387459.441,3,2.173,0.0176,1,39.9288,40.132,3.9624,2.4892
934,63154.578,100175.837,-513067.567,3,1.773,0.019,1,101.6,45.4914,4.3942,2.3114
935,41460.698,133926.539,-573680.621,3,2.006,0.0193,1,47.4218,42.4053,7.7089,4.7625
936,72417.439,156501.329,-637356.551,3,1.726,0.0194,1,101.1936,44.196,8.2042,4.5466
937,51599.894,194305.679,-696840.137,3,1.876,0.0196,1,53.1368,44.2341,10.5664,6.5913
938,77936.176,219117.118,-760181.807,3,1.707,0.0197,1,106.6038,45.6946,10.8966,6.0452
939,82410.875,244180.78,-821417.936,3,1.704,0.0206,1,107.823,46.0502,11.5062,6.4008
940,-71.833,-0.001,15.795,6,2.587,0,1,14.986,10.0076,0.5461,0.4318
941,-2499.229,-0.091,-34.443,6,2.283,0,1,15.3162,10.16,0.7112,0.5842
942,-1754.738,-0.16,-57.207,6,2.289,0,1,10.5664,10.3124,0.8763,0.7112
943,-173837.104,2.884,-1062.54,6,2.27,0,1,75.7682,26.6065,1.9304,1.3843
944,-164745.877,2.787,-882.741,6,2.27,0,1,75.7682,26.6065,1.9304,1.3843
945,-1438.731,-0.051,-16.073,6,2.286,0,1,14.986,10.0076,0.5461,0.4318
946,-3074.397,-0.112,-47.592,6,2.281,0,1,15.3162,10.16,0.7112,0.5842
947,-2233.344,-0.205,-79.915,6,2.285,0,1,10.5664,10.3124,0.8763,0.7112
948,-2562.274,-0.233,-102.933,6,2.284,0,1,10.5664,10.3124,0.8763,0.7112
949,-2988.85,-0.263,-148.618,6,2.282,0,1,10.5664,10.3124,0.8763,0.7112
950,-194660.146,3.515,-1663.689,6,2.275,0,1,76.2254,26.6573,2.159,1.4351
