,Mu33,Mu22,Pu,L,Cb,Delta,L1tb,h,b,tf,tw
1118,-646760.075,-42.718,1521.053,15,2.585,0,1,100.8126,40.2082,4.0005,2.1082
1119,-670515.761,-44.751,1666.11,15,2.567,0,1,101.1936,40.1955,4.191,2.3622
1120,-629690.394,-148.443,-1121.692,15,1.962,0,1,100.8126,45.2882,4.0005,2.1082
1121,-731773.296,-142.029,-1129.07,15,1.996,0,1,102.0064,40.3987,4.5974,2.54
1122,-761024.904,-200.942,-1086.557,15,2.004,0,1,101.6,45.4914,4.3942,2.3114
1123,-805441.343,-176.978,-1077.347,15,2.013,0,1,102.997,40.6908,5.1054,2.8448
1124,-864588.158,-212.01,-1032.562,15,2.024,0,1,104.013,40.9448,5.588,3.0988
1125,-953100.625,-261.136,-993.625,15,2.04,0,1,105.0036,41.2496,6.096,3.4036
1126,-1041865,-321.885,-937.968,15,2.053,0,1,106.1974,41.5544,6.7056,3.7084
1127,-1144246.36,-454.29,-1039.354,15,2.069,0,1,99.5934,43.7388,7.3914,4.0894
1128,-1204188.38,-422.012,-889.511,15,2.076,0,1,107.5436,41.9354,7.3914,4.0894
1129,-1292202.57,-586.772,-973.303,15,2.086,0,1,101.1936,44.196,8.2042,4.5466
1130,-1367024.77,-548.412,-826.588,15,2.093,0,1,109.1946,42.3926,8.2042,4.5466
1131,-1440350.18,-740.53,-911.579,15,2.099,0,1,102.7938,44.6405,8.9916,5.0038
1132,-1515308.11,-689.293,-772.424,15,2.106,0,1,110.7948,42.8498,8.9916,5.0038
1133,-1610881.43,-942.463,-847.906,15,2.112,0,1,104.6226,45.1485,9.906,5.4991
1134,-1686031.91,-1123.654,-782.242,15,2.115,0,1,106.6038,45.6946,10.8966,6.0452
1135,-1879100.02,-1354.374,-853.819,15,2.127,0,1,107.823,46.0502,11.5062,6.4008
1136,-442.098,0.0004363,12.343,15,2.585,0,1,14.986,10.0076,0.5461,0.4318
1137,-1145.717,-0.029,-599.512,15,2.356,0,1,15.3162,10.16,0.7112,0.5842
1138,-850.321,-0.046,-864.548,15,2.42,0,1,10.5664,10.3124,0.8763,0.7112
1139,-1739.475,-0.337,-2887.347,15,2.3,0,1,12.7254,12.7,0.9144,0.6096
1140,-17379.609,-4.921,-15659.836,15,2.174,0,1,21.59,20.5994,1.7399,1.016
1141,-351747.744,159.653,84124.174,15,2.297,0,1,78.5876,38.3667,3.3401,1.9685
1142,-136894.277,92.611,58796.691,15,2.343,0,1,35.6362,31.9278,3.9624,2.4384
1143,-23039.71,-6.64,-20886.539,15,2.169,0,1,22.225,20.8788,2.0574,1.2954
1144,-48851.966,28.819,29196.019,15,2.367,0,1,26.924,25.8826,2.2098,1.3462
1145,-64975.595,38.614,37352.171,15,2.365,0,1,28.194,26.2636,2.8448,1.7272
1146,-152831.926,106.552,65582.503,15,2.343,0,1,36.5252,32.1818,4.4069,2.6924
1147,-312735.17,130.246,70560.728,15,2.298,0,1,77.9272,38.2016,3.0099,1.8034
1148,-309980.468,124.137,74201.877,15,2.299,0,1,71.3994,35.6489,3.4036,1.905
1149,-352681.295,155.469,79367.57,15,2.295,0,1,85.5472,39.9923,2.921,1.8161
1150,-351747.744,159.653,84124.174,15,2.297,0,1,78.5876,38.3667,3.3401,1.9685
1151,-416030.973,225.158,94909.909,15,2.293,0,1,98.2218,44.9834,2.7051,1.8034
1152,-491778.39,308.07,120122.224,15,2.29,0,1,99.2124,44.9834,3.2004,1.8034
1153,-564909.681,390.895,146849.818,15,2.289,0,1,99.9998,45.085,3.5941,1.905
1154,-637104.135,358.612,177184.168,15,2.288,0,1,101.1936,40.1955,4.191,2.3622
1155,-678275.808,415.937,197693.046,15,2.289,0,1,102.0064,40.3987,4.5974,2.54
1156,-755193.484,508.176,233476.539,15,2.289,0,1,102.997,40.6908,5.1054,2.8448
1157,-807694.136,679.232,264365.567,15,2.29,0,1,96.012,42.7482,5.588,3.0988
1158,-885238.664,701.545,301814.41,15,2.291,0,1,105.0036,41.2496,6.096,3.4036
1159,-1009222.06,879.656,360634.426,15,2.289,0,1,106.1974,41.5544,6.7056,3.7084
1160,-1088238.84,1186.398,410642.145,15,2.29,0,1,99.5934,43.7388,7.3914,4.0894
1161,-1783992.68,112.978,-650971.859,15,2.206,0,1,107.823,46.0502,11.5062,6.4008
1162,-1534939.83,-6.629,-533096.699,15,2.207,0,1,104.6226,45.1485,9.906,5.4991
1163,-1309217.97,-70.205,-419658.693,15,2.206,0,1,109.1946,42.3926,8.2042,4.5466
1164,-1058528.69,-85.089,-329205.153,15,2.211,0,1,99.5934,43.7388,7.3914,4.0894
1165,-945473.591,-85.434,-269169.116,15,2.209,0,1,105.0036,41.2496,6.096,3.4036
1166,-831739.82,-80.357,-226355.908,15,2.21,0,1,104.013,40.9448,5.588,3.0988
1167,-701491.488,-72.253,-176109.912,15,2.21,0,1,102.0064,40.3987,4.5974,2.54
1168,-583356.86,-79.467,-133530.439,15,2.21,0,1,99.9998,45.085,3.5941,1.905
1169,-62508.067,-18.093,-56502.771,15,2.316,0,1,28.8544,26.4541,3.175,1.9177
1170,-25729.558,-8.595,-26871.424,15,2.339,0,1,25.6286,25.4762,1.5621,0.9398
1171,-12209.427,-3.903,-18552.337,15,2.432,0,1,20.955,20.4978,1.4224,0.9144
1172,-2425.878,0.218,185.754,4,2.598,0,1,14.986,10.0076,0.5461,0.4318
1173,-4070.974,0.154,126.316,4,2.466,0,1,15.3162,10.16,0.7112,0.5842
1174,-3020.915,0.133,89.435,4,2.504,0,1,10.5664,10.3124,0.8763,0.7112
1175,-5721.611,0.138,55.428,4,2.412,0,1,13.081,12.7762,1.0922,0.6858
1176,-27762.741,0.33,206.971,4,2.363,0,1,40.3352,14.0335,1.1176,0.6985
1177,-32144.585,0.327,206.749,4,2.348,0,1,44.958,15.24,1.0795,0.762
1178,-37188.757,0.234,166.461,4,2.336,0,1,45.466,15.2781,1.3335,0.8001
1179,-39833.098,0.132,118.999,4,2.332,0,1,45.466,15.2781,1.3335,0.8001
1180,-46523.907,-0.025,69.396,4,2.321,0,1,52.4764,16.51,1.143,0.889
1181,-51735.809,-0.209,7.963,4,2.315,0,1,52.9082,16.5862,1.3589,0.9652
1182,-63391.269,-0.658,-147.741,4,2.306,0,1,59.8678,17.7927,1.2827,1.0033
1183,-74803.923,-1.205,-335.332,4,2.301,0,1,60.2996,17.8816,1.4986,1.0922
1184,-80406.119,-2.609,-467.368,4,2.3,0,1,53.6702,21.0058,1.7399,1.0922
1185,-88523.441,-3.311,-564.352,4,2.297,0,1,60.2742,22.7711,1.4859,1.0541
1186,-95904.823,-4.143,-697.917,4,2.295,0,1,60.7568,22.8346,1.7272,1.1176
1187,-107117.956,-5.518,-954.989,4,2.294,0,1,61.214,22.9108,1.9558,1.1938
1188,-118233.369,-7.815,-1256.935,4,2.294,0,1,67.8434,25.2984,1.6256,1.1684
1189,-130498.295,23.47,2543.952,4,2.274,0,1,75.0062,26.416,1.5494,1.1938
1190,-147598.145,51.434,6805.687,4,2.26,0,1,75.311,26.543,1.7018,1.3208
1191,-165883.555,86.264,11452.883,4,2.277,0,1,75.7682,26.6065,1.9304,1.3843
1192,-180210.663,101.348,12851.863,4,2.276,0,1,76.2254,26.6573,2.159,1.4351
1193,-200816.069,127.001,14327.942,4,2.275,0,1,83.4644,29.1592,1.8796,1.397
1194,-221306.665,155.128,16440.332,4,2.274,0,1,84.0486,29.2354,2.1717,1.4732
1195,-241904.882,171.372,18188.171,4,2.273,0,1,90.297,30.353,2.0066,1.524
1196,-264715.244,181.191,20647.096,4,2.273,0,1,97.028,29.9974,2.1082,1.6002
1197,-313159.389,266.205,25124.402,4,2.272,0,1,91.4654,30.48,2.5908,1.651
1198,-323738.793,257.687,26347.063,4,2.272,0,1,98.0186,29.9974,2.6035,1.651
1199,-358104.122,333.393,30078.408,4,2.271,0,1,92.2782,30.6705,2.9972,1.8415
1200,-378786.313,738.76,31804.596,4,2.271,0,1,97.028,44.9834,2.1082,1.8034
1201,-403642.041,347.821,34711.052,4,2.271,0,1,108.9914,29.9974,3.0988,1.8034
1202,-427969.409,368.993,36829.551,4,2.27,0,1,108.9914,29.9974,3.0988,1.8034
1203,-464257.506,882.153,40521.708,4,2.27,0,1,99.0092,40.005,3.0988,1.651
1204,-493261.357,461.27,44147.79,4,2.27,0,1,110.0074,29.9974,3.5941,1.9939
1205,-537661.686,1376.58,48244.521,4,2.27,0,1,99.2124,44.9834,3.2004,1.8034
1206,-568682.871,558.918,52418.896,4,2.27,0,1,110.7948,29.9974,4.0005,2.1971
1207,-608997.551,1660.875,55991.155,4,2.269,0,1,99.9998,45.085,3.5941,1.905
1208,-650387.554,664.653,62232.711,4,2.269,0,1,111.8108,29.9974,4.4958,2.6035
1209,19395.183,-1687.383,-26460.902,3.5,1,0.0076,0,21.59,20.5994,1.7399,1.016
1210,57085.988,47859.313,-418091.367,3.5,1,0.0197,0,78.5876,38.3667,3.3401,1.9685
1211,58281.738,-154871.319,-925860.833,3.5,1,0.022,0,94.8944,42.1386,7.5946,4.191
1212,69621.509,-272009.255,-1430182.11,3.5,1,0.0226,0,106.6038,45.6946,10.8966,6.0452
1213,38859.993,-117336.7,-317940.312,3.5,1,0.0226,0,101.6,45.4914,4.3942,2.3114
1214,46442.726,-258412.298,-588248.053,3.5,1,0.0216,0,106.6038,45.6946,10.8966,6.0452
1215,54752.619,38455.236,-153517.773,3.5,1,0.0232,0,70.0786,35.6108,2.7432,1.6764
